instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 30,Unnamed: 31,attendingPersID,order,diocese,diocese_reg
﻿new.nj.9002,﻿school,﻿St. Mary's Select School for Young Ladies,English,,﻿No. 415 Grand Street,,,,﻿New York,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿poor children,﻿seldom less than 300 poor children,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.9002,﻿school,﻿St. Joseph's School for Young Ladies,English,,﻿No. 23 Oliver Street,,,,﻿New York,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.9008,﻿asylum,﻿Roman Catholic Asylum,English,,,,,,,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿15 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.9008,﻿asylum,﻿Roman Catholic Asylum,English,,,,,,,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿orphans,﻿upwards of 200,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.9011,﻿asylum,﻿Roman Catholic Half-Orphan Asylum,English,,,,,,,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿7 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042_92,﻿school,﻿St. Peter's Free School,English,,,,,,,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿3 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿bro.ny.9000,﻿asylum,﻿St. Mary's Asylum,English,,,﻿Long Island,,,﻿Brooklyn,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9012_91,﻿asylum,﻿St. Joseph's Asylum,English,,,,,,﻿Albany,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9012_92,﻿day school,﻿St. Joseph's Day School,English,,,,,,﻿Albany,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9012_92,﻿asylum,﻿St. Joseph's Day School,English,,,,,,﻿Utica,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
